CardId,AssetName,Group,Route,OwnerWeapon,Weight,Family,DisplayName_ko,DisplayName_en,DisplayName_ja,Description_ko,Description_en,Description_ja,E1_Attr,E1_Override,E1_Tiers,E2_Attr,E2_Override,E2_Tiers,E3_Attr,E3_Override,E3_Tiers
DA_CardModifiers_ExplosiveRounds,DA_CardModifiers_ExplosiveRounds,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka;DA_Weapon_LMG;DA_Weapon_Shotgun;DA_Weapon_SMG;DA_Weapon_Sniper,1,,폭발탄,Explosive Rounds,爆発弾,탄환이 착탄 시 폭발한다,Bullets explode on impact,弾丸が着弾時に爆発する,weapon.frag.explosiverounds,,L:0.0,,,,,,
DA_CardModifiers_MultiShot,DA_CardModifiers_MultiShot,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka;DA_Weapon_ChargeLaser;DA_Weapon_LMG;DA_Weapon_Shotgun;DA_Weapon_SMG;DA_Weapon_Sniper,1,,멀티 샷,Multi Shot,マルチショット,사격 시 탄환이 1발 추가된다,Fire one extra bullet per shot,射撃時に弾丸が1発追加される,weapon.frag.multishot,,L:0.0,,,,,,
DA_CardModifiers_NoSelfDamage,DA_CardModifiers_NoSelfDamage,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka,1,,자가 피해 방지,No Self Damage,自爆ダメージ無効,폭발 피해가 자신에게 적용되지 않는다,Explosion damage no longer hurts you,爆発ダメージが自分に適用されない,weapon.frag.noselfdamage,,L:0.0,,,,,,
DA_CardModifiers_ReloadOnKill,DA_CardModifiers_ReloadOnKill,Weapon,MissionClearWeaponFeature,DA_Weapon_Bazooka;DA_Weapon_Shotgun;DA_Weapon_Sniper,1,,처치 시 재장전,Reload on Kill,キル時リロード,적 처치 시 즉시 재장전된다,Kills instantly reload this weapon,敵を倒すと即座にリロードされる,weapon.frag.reloadonkill,,L:0.0,,,,,,
DA_CardUnlock_Bazooka,DA_CardUnlock_Bazooka,WeaponUnlock,MissionClearNewWeapon,,1,,바주카,Bazooka,バズーカ,,,,unlock.bazooka,,,,,,,,
DA_CardUnlock_ChargeLaser,DA_CardUnlock_ChargeLaser,WeaponUnlock,MissionClearNewWeapon,,1,,차지 레이저,Charge Laser,チャージレーザー,,,,unlock.chargelaser,,,,,,,,
DA_CardUnlock_LMG,DA_CardUnlock_LMG,WeaponUnlock,MissionClearNewWeapon,,1,,LMG,LMG,LMG,,,,unlock.lmg,,,,,,,,
DA_CardUnlock_Rifle,DA_CardUnlock_Rifle,WeaponUnlock,MissionClearNewWeapon,,1,,라이플,Rifle,ライフル,,,,unlock.rifle,,,,,,,,
DA_CardUnlock_Shotgun,DA_CardUnlock_Shotgun,WeaponUnlock,MissionClearNewWeapon,,1,,샷건,Shotgun,ショットガン,,,,unlock.shotgun,,,,,,,,
DA_CardUnlock_SMG,DA_CardUnlock_SMG,WeaponUnlock,MissionClearNewWeapon,,1,,SMG,SMG,SMG,,,,unlock.smg,,,,,,,,
DA_CardUnlock_Sniper,DA_CardUnlock_Sniper,WeaponUnlock,MissionClearNewWeapon,,1,,저격총,Sniper,スナイパー,,,,unlock.sniper,,,,,,,,
DA_CardModifiers_CritOverkill,DA_CardModifiers_CritOverkill,Weapon,MissionClearWeaponFeature,DA_Weapon_Rifle,1,,치명타 추가타,Critical Overkill,クリティカル追撃,치명타가 입힌 피해의 50%를 한 번 더 입힌다,Crits deal an extra 50% of the damage they dealt,クリティカルで与えたダメージの50%を追加で与える,weapon.frag.critbonus,,L:0.0,,,,,,
DA_CardModifiers_CritLifesteal,DA_CardModifiers_CritLifesteal,Weapon,MissionClearWeaponFeature,DA_Weapon_Rifle,1,,치명타 흡혈,Critical Leech,クリティカル吸血,치명타가 입힌 피해의 10%만큼 회복한다,Heal for 10% of the damage your crits deal,クリティカルで与えたダメージの10%を回復する,weapon.frag.critlifesteal,,L:0.0,,,,,,
DA_CardModifiers_CritOnReload,DA_CardModifiers_CritOnReload,Weapon,MissionClearWeaponFeature,DA_Weapon_Rifle,1,,재장전 각성,Reload Rush,リロード覚醒,재장전을 마치면 5초간 치명타 확률 +20%·치명타 피해 +20%,Finishing a reload grants +20% crit chance and +20% crit damage for 5s,リロード完了後5秒間 クリティカル率+20%・クリティカルダメージ+20%,weapon.frag.critonreload,,L:0.0,,,,,,
DA_CardModifiers_WeakpointCrit,DA_CardModifiers_WeakpointCrit,Weapon,MissionClearWeaponFeature,DA_Weapon_Rifle,1,,약점 관통,Weakpoint Precision,弱点貫通,약점에 맞힌 사격은 반드시 치명타가 된다,Shots that hit a weakpoint always crit,弱点に当てた射撃は必ずクリティカルになる,weapon.frag.weakpointcrit,,L:0.0,,,,,,
DA_CardModifiers_CritOnSlide,DA_CardModifiers_CritOnSlide,Weapon,MissionClearWeaponFeature,DA_Weapon_Rifle,1,,활강 집중,Slide Focus,滑走集中,이 무기를 든 채 슬라이딩하면 5초간 치명타 확률 +40% (슬라이딩할 때마다 초기화),Sliding while holding this weapon grants +40% crit chance for 5s (refreshed each slide),この武器を持ってスライディングすると5秒間 クリティカル率+40%（スライディングのたびに更新）,weapon.frag.critonslide,,L:0.0,,,,,,
DA_Card_ADSZoom_ThisWeapon,DA_Card_ADSZoom_ThisWeapon,Weapon,LevelUpWeapon,DA_Weapon_Rifle,1,,조준 배율,Aim Magnification,照準倍率,이 무기의 조준 배율 증가,Aim magnification up for this weapon,この武器の照準倍率アップ,weapon.adsfov,,C:-0.05;R:-0.08;E:-0.12;L:-0.15,,,,,,
